Main,Section,Category,Sub Category,Collection
Data Collections,Editors Picks,Water,,River Regions
Data Collections,Editors Picks,Water,,Water Table Aquifer
Data Collections,Editors Picks,Water,,Bores
Data Collections,Editors Picks,Water,,Springs
Data Collections,Editors Picks,Water,,Waterfall points
Data Collections,Editors Picks,Water,,Marine Infrastructure
Data Collections,Editors Picks,Water,,Streams & Rivers
Data Collections,Editors Picks,Water,,Catchments
Data Collections,Editors Picks,Water,,Dams
Data Collections,Editors Picks,data.gov.au,,
Data Collections,Editors Picks,Geoscience Australia,,
Data Collections,Editors Picks,Bureau of Meteorology,,
Data Collections,Editors Picks,Sample GeoData,,NSW Incidents info
Data Collections,Editors Picks,Sample GeoData,,Pacific Earthquakes info
Data Collections,Editors Picks,Sample GeoData,,Axial Site Earthquakes
Data Collections,Topics,Boundaries,General Boundaries,Framework Boundaries
Data Collections,Topics,Boundaries,General Boundaries,Framework Boundaries SS
Data Collections,Topics,Boundaries,General Boundaries,States & Territories
Data Collections,Topics,Boundaries,General Boundaries,Local Government Areas
Data Collections,Topics,Boundaries,General Boundaries,Postal Areas
Data Collections,Topics,Boundaries,General Boundaries,Commonwealth Electoral Divisions
Data Collections,Topics,Boundaries,Statistical Boundaries,Statistical Area Level 4 (SA4)
Data Collections,Topics,Boundaries,Statistical Boundaries,Statistical Area Level 3 (SA3)
Data Collections,Topics,Boundaries,Statistical Boundaries,Statistical Area Level 2 (SA2)
Data Collections,Topics,Boundaries,Statistical Boundaries,Statistical Area Level 1 (SA1)
Data Collections,Topics,Boundaries,Statistical Boundaries,Greater Capital City Statistical Area (GCCSA)
Data Collections,Topics,Boundaries,Statistical Boundaries,Australian Capital Territory Mesh Blocks
Data Collections,Topics,Boundaries,Statistical Boundaries,New South Wales Mesh Blocks
Data Collections,Topics,Boundaries,Statistical Boundaries,Northern Territory Mesh Blocks
Data Collections,Topics,Boundaries,Statistical Boundaries,Other Territories Mesh Blocks
Data Collections,Topics,Boundaries,Statistical Boundaries,Queensland Mesh Blocks
Data Collections,Topics,Boundaries,Statistical Boundaries,South Australia Mesh Blocks
Data Collections,Topics,Boundaries,Statistical Boundaries,Tasmania Mesh Blocks
