Location Code,Partner Code,Name,Type,Description,Phone Number,Fax Number,Delivery Point Id,Work Centre Id,Hatch Description,Address Line 1,Suburb,State,Postcode,Country Name,Country Code,Address Line 2,Lat,Lon,Distance
237307_PO,AP,LADYSMITH LPO,PO,Post Office,(02) 6922 1526,(02)6922 1526,72479073,237307,NA,14 Kyeamba Street,LADYSMITH,NSW,2652,Australia,AU,NA,-35.207406,147.513585,11.87893137
246887_PO,AP,FOREST HILL LPO,PO,Post Office,(02) 6922 7290,(02)6922 8156,80321565,246887,NA,Forest Hill Store,FOREST HILL,NSW,2651,Australia,AU,34 Allonby Avenue,-35.148835,147.465949,17.45850494
237147_PO,AP,KOORINGAL LPO,PO,Post Office,(02) 6926 3899,(02)6926 3966,68017476,237147,NA,293 Lake Albert Road,KOORINGAL,NSW,2650,Australia,AU,NA,-35.14135657,147.3752936,19.93635494
261251_PO,AP,GUMLY GUMLY LPO,PO,Post Office,(02) 6922 7240,,62117731,261251,NA,3862 Sturt Highway,GUMLY GUMLY,NSW,2652,Australia,AU,NA,-35.126769,147.431916,20.10495371
238596_PO,AP,MANGOPLAH LPO,PO,Post Office,(02) 6928 5709,,41860111,238596,NA,43 Cox Street,MANGOPLAH,NSW,2652,Australia,AU,NA,-35.376713,147.252243,20.65211478
240098_PO,AP,MOUNT AUSTIN LPO,PO,Post Office,(02) 6925 1252,(02)6925 0152,97149379,240098,NA,Turvey Tops Shopping Centre,MOUNT AUSTIN,NSW,2650,Australia,AU,Shop 1 44-66 Fernleigh Road,-35.13339194,147.3577106,21.41387116
201785_PO,AP,WAGGA WAGGA POST SHOP,PO,Post Office,13 13 18,(02)6921 6506,52832598,201785,NA,Marketplace,WAGGA WAGGA,NSW,2650,Australia,AU,Shop 58 87 Baylis Street,-35.11494486,147.3710304,22.79958865
247193_PO,AP,URANQUINTY LPO,PO,Post Office,(02) 6922 9659,(02)6922 9659,40760695,247193,NA,28 Morgan Street,URANQUINTY,NSW,2652,Australia,AU,NA,-35.193798,147.245591,23.31963467
247310_PO,AP,WAGGA WAGGA SOUTH POST OFFICE,PO,Post Office,13 13 18,(02)6971 9473,44606612,247310,NA,Unit 1 80 Murray Street,WAGGA WAGGA,NSW,2650,Australia,AU,NA,-35.11349047,147.3599968,23.33267387
250325_PO,AP,MILPO KAPOOKA LPO,PO,Post Office,(02) 6933 8297,(02)6931 5880,31657020,250325,NA,48 Kapooka Drive,KAPOOKA,NSW,2661,Australia,AU,NA,-35.157298,147.280211,23.39751257
246828_PO,AP,ASHMONT LPO,PO,Post Office,(02) 6931 1117,(02)6931 1117,81171518,246828,NA,Ashmont Mall,WAGGA WAGGA,NSW,2650,Australia,AU,Shop 6 49 Tobruk Street,-35.12516759,147.3299068,23.43128648
245737_PO,AP,TARCUTTA LPO,PO,Post Office,(02) 6928 7202,(02)6928 7224,90800709,245737,NA,28 Sydney Street,TARCUTTA,NSW,2652,Australia,AU,NA,-35.276746,147.736555,25.06557263
255222_PO,AP,CHARLES STURT UNI WAGGA LPO,PO,Post Office,(02) 6933 2045,(02)6933 4981,74444038,255222,NA,Charles Sturt University,CHARLES STURT UNIVERSITY,NSW,2678,Australia,AU,460 Valder Way,-35.057017,147.351623,29.4498759
246131_PO,AP,THE ROCK LPO,PO,Post Office,(02) 6920 2210,(02)6920 2217,96287595,246131,NA,Lot 1 Ford Street,THE ROCK,NSW,2655,Australia,AU,NA,-35.267435,147.11624,31.73418957
249535_PO,AP,YERONG CREEK LPO,PO,Post Office,(02) 6920 3557,(02)6920 3506,79723849,249535,NA,7 Plunkett Street,YERONG CREEK,NSW,2642,Australia,AU,NA,-35.387547,147.057974,37.81520739
253817_PO,AP,HENTY LPO,PO,Post Office,(02) 6929 3287,(02)6929 3652,34406193,253817,NA,6 Sladen Street,HENTY,NSW,2658,Australia,AU,NA,-35.516974,147.034586,45.34839592
251934_PO,AP,HOLBROOK LPO,PO,Post Office,(02) 6036 2525,(02)6036 3084,84208403,251934,NA,110 Albury Street,HOLBROOK,NSW,2644,Australia,AU,NA,-35.722673,147.315156,48.23685436
240653_PO,AP,NANGUS LPO,PO,Post Office,(02) 6944 7240,(02)6944 7399,47693638,240653,NA,Kimo Street,NANGUS,NSW,2722,Australia,AU,NA,-35.0524114,147.8997812,48.7047228
270190_PO,AP,JUNEE LPO,PO,Post Office,(02) 6924 1197,(02)6924 1197,39928674,270190,NA,119 Lorne Street,JUNEE,NSW,2663,Australia,AU,NA,-34.871215,147.584337,49.57803624
238799_PO,AP,MARRAR LPO,PO,Post Office,(02) 6927 4477,(02)6927 4490,52373564,238799,NA,3 York Street,MARRAR,NSW,2652,Australia,AU,NA,-34.825165,147.354093,54.35351001
250245_PO,AP,ADELONG LPO,PO,Post Office,(02) 6946 2086,(02)6946 2086,60931390,250245,NA,80 Tumut Street,ADELONG,NSW,2729,Australia,AU,NA,-35.307823,148.064554,54.61549656
243731_PO,AP,ROSEWOOD LPO,PO,Post Office,(02) 6948 8380,(02)6948 8381,59444489,243731,NA,1519 Tumbarumba Road,ROSEWOOD,NSW,2652,Australia,AU,NA,-35.68076988,147.869916,55.65469506
254238_PO,AP,CULCAIRN LPO,PO,Post Office,(02) 6029 8521,(02)6029 8521,81346041,254238,NA,33a Balfour Street,CULCAIRN,NSW,2660,Australia,AU,NA,-35.668115,147.036856,55.76166424
246641_PO,AP,COOLAMON LPO,PO,Post Office,(02) 6927 3149,(02)6927 2702,43353823,246641,NA,88 Cowabbie Street,COOLAMON,NSW,2701,Australia,AU,NA,-34.815856,147.199711,59.50854965
236021_PO,AP,ILLABO LPO,PO,Post Office,(02) 6924 5409,(02)6924 5408,71160642,236021,NA,14-18 Turland Street,ILLABO,NSW,2590,Australia,AU,NA,-34.81506732,147.7392451,60.09598805
263089_PO,AP,WOOMARGAMA LPO,PO,Post Office,(02) 6020 5262,(02)6020 5262,88268634,263089,NA,685 Woomargama Way,WOOMARGAMA,NSW,2644,Australia,AU,NA,-35.83322893,147.2480022,61.77574106
242704_PO,AP,PLEASANT HILLS LPO,PO,Post Office,(02) 6929 6429,(02)6929 6429,98394551,242704,NA,3 Manson Street,PLEASANT HILLS,NSW,2658,Australia,AU,NA,-35.46023456,146.7982129,62.63861716
270211_PO,AP,GUNDAGAI LPO,PO,Post Office,(02) 6944 1046,(02)6944 1400,98292662,270211,NA,152-156 Sheridan Street,GUNDAGAI,NSW,2722,Australia,AU,NA,-35.06518173,148.1055913,64.26251258
